Project,Lead Organization,Contact Name,Contact Address,Description,Website,Tags
Ocean Tracking Network,Ocean Tracking Network (OTN),Robert Lennox,,"The Ocean Tracking Network (OTN) is a global aquatic research, data management and partnership platform headquartered at Dalhousie University in Halifax, Nova Scotia, Canada. OTN's mission is to inform the stewardship and sustainable management of aquatic animals by providing knowledge on their movements, habitats and survival in the face of changing global environments.",https://oceantrackingnetwork.org,data platform
OCEARCH,,,info at ocearch.org,"OCEARCH is a global non-profit organization conducting research, education, outreach and conservation efforts. They lead collaborative field expeditions to track marine apex predators, integrating the collected data for public outreach and research.",https://www.ocearch.org,collaborative initiative
Reporting standards to promote animal welfare and data quality in biologging research,"University of California, Santa Cruz",Allison Payne,alrpayne at ucsc.edu,We have described a minimum reporting standard for instrument characteristics to facilitate future meta-analyses on the impacts of biologging instruments on animal welfare and data quality.,https://doi.org/10.1186/s40317-025-00438-w,reporting standard
Seabird Tracking Database,BirdLife International,,seabirds at birdlife.org,The BirdLife International Seabird Tracking Database is a central store for seabird tracking data from around the world and aims to help further seabird conservation work and support the tracking community.,data.seabirdtracking.org,data platform
SEATRACK,"Norwegian Polar Institute, Norwegian Institute of Nature Research",Benjamin Merkel,benjamin.merkel at npolar.no,"SEATRACK aims to map the non-breeding distribution of seabirds breeding in colonies encircling the North Atlantic. We mainly use geolocators and have developed a standardised data procedure and a centralised database to ensure data integrity and traceability. Further, the project builds on an agreement of understanding between all partners as well as a science plan and a data request form.",https://seatrack.net,collaborative initiative
Standardization framework for bio-logging data,,Ana Sequeira,ana.sequeira at uwa.edu.au,"The standardisation framework for bio-logging data provides templates, code and examples to document, store and process bio-logging datasets. These include device and deployment metadata and sensor data at four levels: decoded sensor data, curated data, interpolated data, and gridded data. Read more in Sequeira et al. (2021, https://doi.org/10.1111/2041-210X.13593).",https://github.com/ocean-tracking-network/biologging_standardization,"reporting standard, data vocabulary"
The Shorebird Science and Conservation Collective,"The Shorebird Science and Conservation Collective, Smithsonian Migratory Bird Center",Allie Anderson (Quantitative Ecologist) and Autumn-Lynn Harrison (PI),"HarrisonAL at si.edu, AndersonA at si.edu","The Shorebird Science and Conservation Collective brings together the knowledge of agencies, universities, nonprofits, and community scientists to advance shorebird conservation in the Western Hemisphere through the sharing of shorebird tracking data. To date, over 7 million locations from >3,000 individual tracked shorebirds of 36 species have been shared by over 88 organizations, cleaned, and integrated into a central resource to inform on-the-ground conservation projects. Read more about the Collective at https://www.biorxiv.org/content/10.1101/2024.01.30.576574v3.",https://nationalzoo.si.edu/migratory-birds/shorebird-collective,collaborative initiative
U.S. Animal Telemetry Network,U.S. Integrated Ocean Observing System,Megan McKinzie,mmckinzie at mbari.org,"Operating under the NOAA Integrated Ocean Observing System (IOOS), the multi-agency U.S. Animal Telemetry Network was developed in 2016 to provide unity, stability and continuity to the national infrastructure that facilitates the collection, management, standarization and availability of marine animal telemetry data derived through satellite, archival and acoustic tags and seeks to promote the integration of these data into our nation's ocean observing system cabapilities.",https://atn.ioos.us,data platform
Unique Animal IDs,Max Planck Institute of Animal Behavior,Martin Wikelski,wikelski at ab.mpg.de,"The Movebank Life History Museum (MoMu) and Unique Animal Identifier (UAID) support storage of files related to tracked wildlife and the assignment of persistent and unique identifiers for individual animals. The goal is to manage and archive the range of multi-media information about individuals throughout their lives—for example, from photographs, text messages and news articles—collected as more animals for longer using attached tags. As more projects are shared and archived, UAIDs offer a way to link information about individual animals across databases to enable future efforts to bring together data globally. Read more in Wikelski et al. (2024, https://doi.org/10.1111/2041-210X.14407).",https://animaltracker.app,data platform
Wild Moves,WILDLABS,,ibls.datastandards at gmail.com,"Wild Moves is a GBIF-hosted portal for animal tracking and bio-logging data maintained by WILDLABS. To participate, institutions and data platforms can publish data to GBIF and assign it to the ""Wild Moves"" network. Tracking data platforms are coordinating software development to represent harmonized animal tracking data in Darwin Core, the data standard used by GBIF and OBIS. With further adoption, Wild Moves can serve as a global, public data and meta-repository for tracking data and projects.",https://moves.wildlabs.net,"derived data product, data platform"
Wireless Remote Animal Monitoring (WRAM),Swedish University of Agricultural Sciences (SLU),Petter Lundberg,petter.lundberg at slu.se,"SLU Wireless Remote Animal Monitoring (WRAM) is a national e-infrastructure for biologging and tracking, designed to support project management, data collection, storage, and visualization. Initiated in the early 2000s, WRAM currently holds data on nearly 6,000 individuals across 24 different species. It is also a core component of the Swedish Biodiversity Data Infrastructure (SBDI)—Sweden’s GBIF node and the largest biodiversity database in the country, aggregating data from a wide range of sources. WRAM is designed to accommodate both spatial and non-spatial data, supporting a broad range of research and monitoring efforts. Ongoing developments focus on improving the database’s performance and interoperability, including the implementation of the within SBDI-developed biologging sensor data model (https://github.com/biodiversitydata-se/biologging-sensor-datamodel). This integration aims to enhance the handling of metadata and promote standardized, efficient data management across platforms.",https://wram.slu.se,data platform
